file,dataset_group,status,error,shape,dimensions,dtype,elements,unique_values,non_finite_values,minimum,maximum
Rehab_assessment/Label.npy,Rehab_assessment,readable,,"(222, 27)",2,int64,5994,3,0,0.0,2.0
Rehab_assessment/d01_raw_data/001/000_1.npy,Rehab_assessment,readable,,"(86, 12)",2,float64,1032,746,0,-1315.0,158.0
Rehab_assessment/d01_raw_data/001/000_2.npy,Rehab_assessment,readable,,"(93, 13)",2,float64,1209,633,0,-145.272216796875,759.0
Rehab_assessment/d01_raw_data/001/000_3.npy,Rehab_assessment,readable,,"(93, 5)",2,float64,465,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/001_1.npy,Rehab_assessment,readable,,"(78, 12)",2,float64,936,741,0,-1231.0,148.0
Rehab_assessment/d01_raw_data/001/001_2.npy,Rehab_assessment,readable,,"(95, 13)",2,float64,1235,1000,0,-159.999389648438,694.0
Rehab_assessment/d01_raw_data/001/001_3.npy,Rehab_assessment,readable,,"(95, 5)",2,float64,475,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/002_1.npy,Rehab_assessment,readable,,"(161, 12)",2,float64,1932,1553,0,-1768.0,229.0
Rehab_assessment/d01_raw_data/001/002_2.npy,Rehab_assessment,readable,,"(173, 13)",2,float64,2249,1633,0,-179.730834960938,741.0
Rehab_assessment/d01_raw_data/001/002_3.npy,Rehab_assessment,readable,,"(173, 5)",2,float64,865,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/003_1.npy,Rehab_assessment,readable,,"(381, 12)",2,float64,4572,3066,0,-1407.0,166.0
Rehab_assessment/d01_raw_data/001/003_2.npy,Rehab_assessment,readable,,"(375, 13)",2,float64,4875,3295,0,-179.923095703125,762.0
Rehab_assessment/d01_raw_data/001/003_3.npy,Rehab_assessment,readable,,"(381, 5)",2,float64,1905,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/004_1.npy,Rehab_assessment,readable,,"(212, 12)",2,float64,2544,1949,0,-1390.0,187.0
Rehab_assessment/d01_raw_data/001/004_2.npy,Rehab_assessment,readable,,"(165, 13)",2,float64,2145,1551,0,-179.945068359375,732.0
Rehab_assessment/d01_raw_data/001/004_3.npy,Rehab_assessment,readable,,"(212, 5)",2,float64,1060,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/005_1.npy,Rehab_assessment,readable,,"(299, 12)",2,float64,3588,2338,0,-1437.0,286.0
Rehab_assessment/d01_raw_data/001/005_2.npy,Rehab_assessment,readable,,"(222, 13)",2,float64,2886,1754,0,-17.15087890625,630.0
Rehab_assessment/d01_raw_data/001/005_3.npy,Rehab_assessment,readable,,"(299, 5)",2,float64,1495,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/006_1.npy,Rehab_assessment,readable,,"(183, 12)",2,float64,2196,1661,0,-1192.0,277.0
Rehab_assessment/d01_raw_data/001/006_2.npy,Rehab_assessment,readable,,"(140, 13)",2,float64,1820,1279,0,-178.857421875,710.0
Rehab_assessment/d01_raw_data/001/006_3.npy,Rehab_assessment,readable,,"(183, 5)",2,float64,915,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/007_1.npy,Rehab_assessment,readable,,"(234, 12)",2,float64,2808,2025,0,-1401.0,193.0
Rehab_assessment/d01_raw_data/001/007_2.npy,Rehab_assessment,readable,,"(188, 13)",2,float64,2444,1773,0,-179.989013671875,699.0
Rehab_assessment/d01_raw_data/001/007_3.npy,Rehab_assessment,readable,,"(234, 5)",2,float64,1170,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/008_1.npy,Rehab_assessment,readable,,"(180, 12)",2,float64,2160,1606,0,-1499.0,242.0
Rehab_assessment/d01_raw_data/001/008_2.npy,Rehab_assessment,readable,,"(162, 13)",2,float64,2106,1160,0,-179.989013671875,767.0
Rehab_assessment/d01_raw_data/001/008_3.npy,Rehab_assessment,readable,,"(180, 5)",2,float64,900,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/009_1.npy,Rehab_assessment,readable,,"(91, 12)",2,float64,1092,936,0,-1454.0,254.0
Rehab_assessment/d01_raw_data/001/009_2.npy,Rehab_assessment,readable,,"(65, 13)",2,float64,845,672,0,-148.397827148438,714.0
Rehab_assessment/d01_raw_data/001/009_3.npy,Rehab_assessment,readable,,"(91, 5)",2,float64,455,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/010_1.npy,Rehab_assessment,readable,,"(287, 12)",2,float64,3444,2254,0,-1103.0,367.0
Rehab_assessment/d01_raw_data/001/010_2.npy,Rehab_assessment,readable,,"(337, 13)",2,float64,4381,2784,0,-179.923095703125,870.0
Rehab_assessment/d01_raw_data/001/010_3.npy,Rehab_assessment,readable,,"(337, 5)",2,float64,1685,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/011_1.npy,Rehab_assessment,readable,,"(143, 12)",2,float64,1716,1399,0,-1386.0,188.0
Rehab_assessment/d01_raw_data/001/011_2.npy,Rehab_assessment,readable,,"(148, 13)",2,float64,1924,1310,0,-174.649658203125,653.0
Rehab_assessment/d01_raw_data/001/011_3.npy,Rehab_assessment,readable,,"(148, 5)",2,float64,740,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/012_1.npy,Rehab_assessment,readable,,"(97, 12)",2,float64,1164,899,0,-1470.0,251.0
Rehab_assessment/d01_raw_data/001/012_2.npy,Rehab_assessment,readable,,"(94, 13)",2,float64,1222,896,0,-25.4102783203125,834.0
Rehab_assessment/d01_raw_data/001/012_3.npy,Rehab_assessment,readable,,"(97, 5)",2,float64,485,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/013_1.npy,Rehab_assessment,readable,,"(186, 12)",2,float64,2232,1887,0,-176.544799804688,937.0
Rehab_assessment/d01_raw_data/001/013_2.npy,Rehab_assessment,readable,,"(238, 13)",2,float64,3094,2231,0,-84.89990234375,375.0
Rehab_assessment/d01_raw_data/001/013_3.npy,Rehab_assessment,readable,,"(238, 5)",2,float64,1190,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/014_1.npy,Rehab_assessment,readable,,"(64, 12)",2,float64,768,695,0,-1320.0,185.0
Rehab_assessment/d01_raw_data/001/014_2.npy,Rehab_assessment,readable,,"(60, 13)",2,float64,780,629,0,-35.21728515625,796.0
Rehab_assessment/d01_raw_data/001/014_3.npy,Rehab_assessment,readable,,"(64, 5)",2,float64,320,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/015_1.npy,Rehab_assessment,readable,,"(69, 12)",2,float64,828,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/015_2.npy,Rehab_assessment,readable,,"(69, 13)",2,float64,897,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/015_3.npy,Rehab_assessment,readable,,"(69, 5)",2,float64,345,145,0,13.3856777364973,295.0
Rehab_assessment/d01_raw_data/001/016_1.npy,Rehab_assessment,readable,,"(70, 12)",2,float64,840,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/016_2.npy,Rehab_assessment,readable,,"(70, 13)",2,float64,910,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/016_3.npy,Rehab_assessment,readable,,"(70, 5)",2,float64,350,132,0,44.0,172.0
Rehab_assessment/d01_raw_data/001/017_1.npy,Rehab_assessment,readable,,"(62, 12)",2,float64,744,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/017_2.npy,Rehab_assessment,readable,,"(62, 13)",2,float64,806,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/017_3.npy,Rehab_assessment,readable,,"(62, 5)",2,float64,310,132,0,22.0,128.0
Rehab_assessment/d01_raw_data/001/018_1.npy,Rehab_assessment,readable,,"(45, 12)",2,float64,540,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/018_2.npy,Rehab_assessment,readable,,"(45, 13)",2,float64,585,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/018_3.npy,Rehab_assessment,readable,,"(45, 5)",2,float64,225,94,0,-30.9574100691806,169.0
Rehab_assessment/d01_raw_data/001/019_1.npy,Rehab_assessment,readable,,"(36, 12)",2,float64,432,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/019_2.npy,Rehab_assessment,readable,,"(36, 13)",2,float64,468,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/019_3.npy,Rehab_assessment,readable,,"(36, 5)",2,float64,180,75,0,-0.573223899891453,125.0
Rehab_assessment/d01_raw_data/001/020_1.npy,Rehab_assessment,readable,,"(40, 12)",2,float64,480,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/020_2.npy,Rehab_assessment,readable,,"(40, 13)",2,float64,520,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/020_3.npy,Rehab_assessment,readable,,"(40, 5)",2,float64,200,96,0,39.0,169.0
Rehab_assessment/d01_raw_data/001/021_1.npy,Rehab_assessment,readable,,"(64, 12)",2,float64,768,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/021_2.npy,Rehab_assessment,readable,,"(64, 13)",2,float64,832,1,0,0.0,0.0
Rehab_assessment/d01_raw_data/001/021_3.npy,Rehab_assessment,readable,,"(64, 5)",2,float64,320,135,0,12.4308923231583,212.0
